"1","solyc08g083040","both-ROOT-INRNA_down"
"1","solyc02g067440","both-ROOT-INRNA_up"
"1","solyc08g083040","both-ROOT-TOTAL_down"
"1","solyc02g085910","both-ROOT-TRAP_down"
"2","solyc08g066100","both-ROOT-TRAP_down"
"3","solyc08g083040","both-ROOT-TRAP_down"
"4","solyc12g096030","both-ROOT-TRAP_down"
"1","solyc07g042190","both-ROOT-TRAP_up"
"1","solyc07g008240","both-SHOOT-TOTAL_down"
"2","solyc08g083040","both-SHOOT-TOTAL_down"
"1","solyc04g081890","both-SHOOT-TRAP_down"
"2","solyc07g008240","both-SHOOT-TRAP_down"
"3","solyc08g083040","both-SHOOT-TRAP_down"
"1","solyc02g093910","both-SHOOT-TRAP_up"
"2","solyc03g123610","both-SHOOT-TRAP_up"
"3","solyc07g054780","both-SHOOT-TRAP_up"
